round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.00388500839471817,0.002931853938371615,100,100,1,mean_squared_error,1,adam
100,0.0038936223136261106,0.002927967044349788,100,100,1,mean_squared_error,2,adam
100,0.0038941018283367157,0.0028340499290851013,100,100,1,mean_squared_error,3,adam
100,0.00394328567199409,0.002824960043653846,100,100,1,mean_squared_error,8,adam
100,0.0039274286245927215,0.002816796072590676,100,100,1,mean_squared_error,16,adam
100,0.003920940915122628,0.0028209639491424674,100,100,1,mean_squared_error,32,adam
100,0.003909556427970529,0.0028177026599729644,100,100,1,mean_squared_error,64,adam
100,0.003934900392778218,0.0028329036422634034,100,100,1,mean_squared_error,128,adam
