round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.00041802633283472614,0.0016263656545753343,100,100,1,mean_squared_error,128,adam
250,0.0007461332672172642,0.0011581082665419965,100,250,1,mean_squared_error,128,adam
500,0.0011144474174490375,0.0010886680369979664,100,500,1,mean_squared_error,128,adam
750,0.0025637811014718897,0.0010516375412809986,100,750,1,mean_squared_error,128,adam
1000,0.0026610100117685207,0.0010574762242900012,100,1000,1,mean_squared_error,128,adam
