round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.0013760980593049946,0.0012218790322170128,100,100,1,mean_squared_error,128,adam
250,0.0012442950529617319,0.0011401491183506785,100,250,1,mean_squared_error,128,adam
500,0.0010481954200647248,0.0010933616656655604,100,500,1,mean_squared_error,128,adam
750,0.0012334359247569726,0.0010635157134185017,100,750,1,mean_squared_error,128,adam
1000,0.0016727533739004004,0.0010415418807711995,100,1000,1,mean_squared_error,128,adam
