round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.007439430104568601,0.002750879358430218,100,100,1,mean_squared_error,128,adam
250,0.0074721676064655185,0.002763821254426002,100,250,1,mean_squared_error,128,adam
500,0.007433690247125924,0.0027413171792477556,100,500,1,mean_squared_error,128,adam
750,0.007435478735715151,0.0027423771640944076,100,750,1,mean_squared_error,128,adam
1000,0.007417010609060526,0.0027427273688086294,100,1000,1,mean_squared_error,128,adam
