round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.003441066248342395,0.0037513613023382043,100,100,1,mean_squared_error,128,adam
250,0.003425924340263009,0.003741338821641522,100,250,1,mean_squared_error,128,adam
500,0.003466209629550576,0.003763078659992282,100,500,1,mean_squared_error,128,adam
750,0.003428956842981279,0.003740861919710884,100,750,1,mean_squared_error,128,adam
1000,0.0034282009582966566,0.0037464964986057545,100,1000,1,mean_squared_error,128,adam
