round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.002009205403737724,0.003288274601763942,100,100,1,mean_squared_error,128,adam
100,0.0019944837549701333,0.0032889848214822433,100,100,2,mean_squared_error,128,adam
100,0.00205354078207165,0.0033021865523908665,100,100,3,mean_squared_error,128,adam
100,0.002078509540297091,0.0033520318390580085,100,100,4,mean_squared_error,128,adam
100,0.0020187366753816605,0.0033398072086088127,100,100,5,mean_squared_error,128,adam
