round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.012835338711738586,0.0022468132531167683,100,100,1,mean_squared_error,1,adam
100,0.0066776885651052,0.00144705986789367,100,100,1,mean_squared_error,2,adam
100,0.007810117211192846,0.0015712604839891607,100,100,1,mean_squared_error,3,adam
100,0.004015465150587261,0.0012791902276180814,100,100,1,mean_squared_error,8,adam
100,0.003637173445895314,0.001271855320012953,100,100,1,mean_squared_error,16,adam
100,0.003625973011367023,0.0012891322707250844,100,100,1,mean_squared_error,32,adam
100,0.0035799825564026833,0.001273335363872858,100,100,1,mean_squared_error,64,adam
100,0.0036638471065089107,0.0012719704069892753,100,100,1,mean_squared_error,128,adam
250,0.0038173606153577566,0.001281384210868734,100,250,1,mean_squared_error,1,adam
250,0.0037116316379979253,0.0012848621260848616,100,250,1,mean_squared_error,2,adam
250,0.0037470690440386534,0.001285899405166061,100,250,1,mean_squared_error,3,adam
250,0.0036375788040459156,0.0012750237164298249,100,250,1,mean_squared_error,8,adam
250,0.0036164725897833705,0.001274168712596402,100,250,1,mean_squared_error,16,adam
250,0.0036459051771089435,0.0012732353825139625,100,250,1,mean_squared_error,32,adam
250,0.0035857888869941235,0.00127301060210652,100,250,1,mean_squared_error,64,adam
250,0.003593678236939013,0.0012692170760904749,100,250,1,mean_squared_error,128,adam
500,0.004512656480073929,0.0013115012656896138,100,500,1,mean_squared_error,1,adam
500,0.0037880216259509325,0.001278368825032224,100,500,1,mean_squared_error,2,adam
500,0.00365024630445987,0.0012764710083050666,100,500,1,mean_squared_error,3,adam
500,0.003610532614402473,0.0012818801769389208,100,500,1,mean_squared_error,8,adam
500,0.0035860235802829266,0.0012729399138623919,100,500,1,mean_squared_error,16,adam
500,0.0036141390446573496,0.0012731053080861422,100,500,1,mean_squared_error,32,adam
500,0.003599177347496152,0.0012710783846517628,100,500,1,mean_squared_error,64,adam
500,0.003696551197208464,0.0012713765603242755,100,500,1,mean_squared_error,128,adam
750,0.0037918930174782872,0.0012777238785327742,100,750,1,mean_squared_error,1,adam
750,0.0036095959367230535,0.0012795359610648766,100,750,1,mean_squared_error,2,adam
750,0.0037539537297561765,0.0012748437862286582,100,750,1,mean_squared_error,3,adam
750,0.0036276265745982528,0.0012796575140151404,100,750,1,mean_squared_error,8,adam
750,0.0036341879749670625,0.0012692862594696252,100,750,1,mean_squared_error,16,adam
750,0.0037040136521682143,0.0012738279027299474,100,750,1,mean_squared_error,32,adam
750,0.003643894800916314,0.001272826737089358,100,750,1,mean_squared_error,64,adam
750,0.003603888675570488,0.001274395639393105,100,750,1,mean_squared_error,128,adam
1000,0.004069303860887885,0.0012697092630027473,100,1000,1,mean_squared_error,1,adam
1000,0.003583159646950662,0.0012823146342516953,100,1000,1,mean_squared_error,2,adam
1000,0.0036915650125592947,0.001277525755191656,100,1000,1,mean_squared_error,3,adam
1000,0.0036566698690876365,0.0012719446713254229,100,1000,1,mean_squared_error,8,adam
1000,0.0036400295794010162,0.0012699983624378476,100,1000,1,mean_squared_error,16,adam
1000,0.003645993652753532,0.0012695940006740233,100,1000,1,mean_squared_error,32,adam
1000,0.003723466768860817,0.001274673882005316,100,1000,1,mean_squared_error,64,adam
1000,0.003658328205347061,0.0012723665936403023,100,1000,1,mean_squared_error,128,adam
