round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.002559818130976055,0.0012209076308050846,100,100,1,mean_squared_error,128,adam
100,0.002583874258561991,0.001234790959799935,100,100,2,mean_squared_error,128,adam
100,0.0025331355282105505,0.00125971687449147,100,100,3,mean_squared_error,128,adam
100,0.002677872013009619,0.001279996377075014,100,100,4,mean_squared_error,128,adam
100,0.002602286469482351,0.0012384078202994123,100,100,5,mean_squared_error,128,adam
1000,0.0025522455107420683,0.0012198258598582197,100,1000,1,mean_squared_error,128,adam
1000,0.002545885887229815,0.001227497231874974,100,1000,2,mean_squared_error,128,adam
1000,0.0024951558661996387,0.0012306570375888366,100,1000,3,mean_squared_error,128,adam
1000,0.0028129353740951046,0.001208643369717309,100,1000,4,mean_squared_error,128,adam
1000,0.003189790528267622,0.0011761853047699035,100,1000,5,mean_squared_error,128,adam
