round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.007202291144893636,0.011130851162493646,1,1,1,mean_squared_error,128,adam
4,0.006885563380577315,0.009077900148189134,1,4,1,mean_squared_error,128,adam
16,0.006908776902061895,0.009084217878257249,1,16,1,mean_squared_error,128,adam
64,0.006619591178440487,0.009002558259075723,1,64,1,mean_squared_error,128,adam
128,0.006467241666804355,0.008946098948730342,1,128,1,mean_squared_error,128,adam
1,0.007787823812104761,0.012378050493369595,4,1,1,mean_squared_error,128,adam
4,0.00686073059681803,0.008983872396532255,4,4,1,mean_squared_error,128,adam
16,0.00682336582802236,0.009030632475447562,4,16,1,mean_squared_error,128,adam
64,0.006900176258059218,0.008979492809325374,4,64,1,mean_squared_error,128,adam
128,0.0066212686477229,0.008957375438495752,4,128,1,mean_squared_error,128,adam
1,0.009500819072127343,0.016860458875151915,16,1,1,mean_squared_error,128,adam
4,0.007069328837096691,0.009232633392960626,16,4,1,mean_squared_error,128,adam
16,0.006746596954762936,0.008971064090985194,16,16,1,mean_squared_error,128,adam
64,0.006703881956636906,0.008947229124162724,16,64,1,mean_squared_error,128,adam
128,0.006877833157777786,0.008901224535154423,16,128,1,mean_squared_error,128,adam
1,0.015348105877637862,0.026175238432488562,64,1,1,mean_squared_error,128,adam
4,0.008657052367925643,0.010903654815873904,64,4,1,mean_squared_error,128,adam
16,0.006867363378405571,0.008961019890664964,64,16,1,mean_squared_error,128,adam
64,0.006827831566333771,0.008833417398517063,64,64,1,mean_squared_error,128,adam
128,0.006697802059352398,0.008837791080487536,64,128,1,mean_squared_error,128,adam
1,0.020123706310987474,0.028431220819360024,128,1,1,mean_squared_error,128,adam
4,0.009043624438345433,0.011595421060406893,128,4,1,mean_squared_error,128,adam
16,0.007958496659994126,0.010040628554786699,128,16,1,mean_squared_error,128,adam
64,0.006729610580950975,0.008881551307976918,128,64,1,mean_squared_error,128,adam
128,0.006758112385869026,0.00883419572309275,128,128,1,mean_squared_error,128,adam
