round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.00997295611054778,0.009481083086113246,1,1,1,mean_squared_error,128,adam
4,0.009844859319007339,0.008315136743753745,1,4,1,mean_squared_error,128,adam
16,0.009812968745500089,0.008348419956858238,1,16,1,mean_squared_error,128,adam
64,0.009772946870105059,0.00816172634090947,1,64,1,mean_squared_error,128,adam
128,0.00975738672350552,0.008018639718432292,1,128,1,mean_squared_error,128,adam
1,0.010912122899899259,0.011149659671180197,4,1,1,mean_squared_error,128,adam
4,0.009832913952413947,0.008402324249615045,4,4,1,mean_squared_error,128,adam
16,0.009750299995066597,0.008405866503373991,4,16,1,mean_squared_error,128,adam
64,0.009766089399345219,0.008125443951514095,4,64,1,mean_squared_error,128,adam
128,0.00974617115687579,0.00809288048465883,4,128,1,mean_squared_error,128,adam
1,0.012538249548524618,0.015113671619132702,16,1,1,mean_squared_error,128,adam
4,0.01021286090835929,0.008679608859585712,16,4,1,mean_squared_error,128,adam
16,0.009717941908165812,0.008159625534555678,16,16,1,mean_squared_error,128,adam
64,0.009725672118365765,0.008276532704852176,16,64,1,mean_squared_error,128,adam
128,0.009699785392731428,0.008075595981393648,16,128,1,mean_squared_error,128,adam
1,0.02075549677014351,0.02676076926780545,64,1,1,mean_squared_error,128,adam
4,0.012449669539928437,0.010482985713986566,64,4,1,mean_squared_error,128,adam
16,0.009744936525821686,0.008149468796316055,64,16,1,mean_squared_error,128,adam
64,0.009685560930520296,0.008078031771663618,64,64,1,mean_squared_error,128,adam
128,0.009682998433709145,0.008094553911454687,64,128,1,mean_squared_error,128,adam
1,0.025736354887485505,0.02991711459028184,128,1,1,mean_squared_error,128,adam
4,0.01287674093618989,0.011574460252960946,128,4,1,mean_squared_error,128,adam
16,0.011039019376039506,0.00919663189130559,128,16,1,mean_squared_error,128,adam
64,0.009663284197449684,0.00808940983805176,128,64,1,mean_squared_error,128,adam
128,0.009687322750687599,0.008064625077812148,128,128,1,mean_squared_error,128,adam
