round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.006827313516839564,0.01108069148771194,1,1,1,mean_squared_error,128,adam
4,0.008951237950777796,0.00906109628264983,1,4,1,mean_squared_error,128,adam
16,0.006919661479572765,0.008715071877016756,1,16,1,mean_squared_error,128,adam
64,0.01008350619815225,0.008501200141763404,1,64,1,mean_squared_error,128,adam
128,0.011963074518682424,0.008431218245520927,1,128,1,mean_squared_error,128,adam
1,0.007683946008328348,0.013217837772523292,4,1,1,mean_squared_error,128,adam
4,0.007533066807664,0.008972920427706154,4,4,1,mean_squared_error,128,adam
16,0.0073988014936912806,0.008887703886730025,4,16,1,mean_squared_error,128,adam
64,0.00748735634595505,0.00866174163829794,4,64,1,mean_squared_error,128,adam
128,0.009663177343609277,0.008458439282212146,4,128,1,mean_squared_error,128,adam
1,0.009195915423333645,0.016201937102592632,16,1,1,mean_squared_error,128,adam
4,0.007590851373970508,0.00964542090524459,16,4,1,mean_squared_error,128,adam
16,0.007021248247474432,0.008775115837208991,16,16,1,mean_squared_error,128,adam
64,0.007328204344958067,0.00868912428403005,16,64,1,mean_squared_error,128,adam
128,0.008340222109109164,0.008534569129492338,16,128,1,mean_squared_error,128,adam
1,0.01547898717224598,0.02767115250668105,64,1,1,mean_squared_error,128,adam
4,0.008866621293127536,0.011713769650541349,64,4,1,mean_squared_error,128,adam
16,0.0068118002265691755,0.008854878413606347,64,16,1,mean_squared_error,128,adam
64,0.007237301543354988,0.008730140936622706,64,64,1,mean_squared_error,128,adam
128,0.007425828352570534,0.008721725887575832,64,128,1,mean_squared_error,128,adam
1,0.020900389030575752,0.03192982930009334,128,1,1,mean_squared_error,128,adam
4,0.009398819655179977,0.014015073846624662,128,4,1,mean_squared_error,128,adam
16,0.007327169328927994,0.010112442049397171,128,16,1,mean_squared_error,128,adam
64,0.007151703834533691,0.008732421581839702,128,64,1,mean_squared_error,128,adam
128,0.0071697915159165855,0.008699159122751711,128,128,1,mean_squared_error,128,adam
