round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.0074479658871725,0.00998569519119804,1,1,1,mean_squared_error,128,adam
4,0.007306161528560899,0.00900802884516534,1,4,1,mean_squared_error,128,adam
16,0.007498926035357272,0.009010936991407481,1,16,1,mean_squared_error,128,adam
64,0.008236282592691246,0.008689677392339881,1,64,1,mean_squared_error,128,adam
128,0.008285373738410158,0.008700954730610949,1,128,1,mean_squared_error,128,adam
1,0.009861408297438175,0.011706744576104974,4,1,1,mean_squared_error,128,adam
4,0.007338512074202299,0.00887101202680425,4,4,1,mean_squared_error,128,adam
16,0.007313946969807148,0.008822577527883894,4,16,1,mean_squared_error,128,adam
64,0.007435306422412396,0.008738783088213157,4,64,1,mean_squared_error,128,adam
128,0.007601184396771714,0.008630243788415901,4,128,1,mean_squared_error,128,adam
1,0.01007313933223486,0.015047613284824526,16,1,1,mean_squared_error,128,adam
4,0.0076125369407236574,0.009203855711756944,16,4,1,mean_squared_error,128,adam
16,0.007327109780162573,0.008735985612876723,16,16,1,mean_squared_error,128,adam
64,0.007401547431945801,0.008637581268868622,16,64,1,mean_squared_error,128,adam
128,0.0074902275949716565,0.008682666323701379,16,128,1,mean_squared_error,128,adam
1,0.018447658345103264,0.026728835022158556,64,1,1,mean_squared_error,128,adam
4,0.010244803614914417,0.011145749957521022,64,4,1,mean_squared_error,128,adam
16,0.007417388707399369,0.0088186168003459,64,16,1,mean_squared_error,128,adam
64,0.0074308130890130995,0.008691810966074206,64,64,1,mean_squared_error,128,adam
128,0.007407628688961268,0.008661507277426605,64,128,1,mean_squared_error,128,adam
1,0.024639427959918976,0.03061633579694061,128,1,1,mean_squared_error,128,adam
4,0.011686520613729955,0.01318437138220321,128,4,1,mean_squared_error,128,adam
16,0.008402490504086018,0.009604275681181008,128,16,1,mean_squared_error,128,adam
64,0.007357921972870826,0.008665555930732562,128,64,1,mean_squared_error,128,adam
128,0.007419613543897867,0.008664981857786079,128,128,1,mean_squared_error,128,adam
