round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.00025777441651535503,0.003782471375472743,1,1,1,mean_squared_error,128,adam
4,0.00026541620687046947,0.0021231881819801014,1,4,1,mean_squared_error,128,adam
16,0.0008744013704451703,0.002007150106169162,1,16,1,mean_squared_error,128,adam
64,0.0003488855952279718,0.0019851357423196175,1,64,1,mean_squared_error,128,adam
128,0.0002972100003984773,0.0019251035759050832,1,128,1,mean_squared_error,128,adam
1,0.0002858117960568052,0.003925637150859756,4,1,1,mean_squared_error,128,adam
4,0.00031283506905310787,0.002093451563745275,4,4,1,mean_squared_error,128,adam
16,0.00028637415594857886,0.001934006742883409,4,16,1,mean_squared_error,128,adam
64,0.0003372557898183004,0.0018791536547357278,4,64,1,mean_squared_error,128,adam
128,0.0003327430431454559,0.001886370088637643,4,128,1,mean_squared_error,128,adam
1,0.0002932581352069974,0.004829974367752589,16,1,1,mean_squared_error,128,adam
4,0.0002270606398815289,0.003013114386558118,16,4,1,mean_squared_error,128,adam
16,0.000286410752160009,0.0018545395321094983,16,16,1,mean_squared_error,128,adam
64,0.0002901058306451887,0.001826532791650304,16,64,1,mean_squared_error,128,adam
128,0.00028535018733236937,0.0017890911113500807,16,128,1,mean_squared_error,128,adam
1,0.000563471142668277,0.005113288399283174,64,1,1,mean_squared_error,128,adam
4,0.0002981464401818812,0.003979763320037566,64,4,1,mean_squared_error,128,adam
16,0.00025609613163396716,0.0018500104828187507,64,16,1,mean_squared_error,128,adam
64,0.00027876462321728467,0.0017741572799045099,64,64,1,mean_squared_error,128,adam
128,0.00028316274750977754,0.0017712206508952208,64,128,1,mean_squared_error,128,adam
1,0.00045220113708637654,0.005168160775650727,128,1,1,mean_squared_error,128,adam
4,0.00027639847132377327,0.004373073611701769,128,4,1,mean_squared_error,128,adam
16,0.0002186908246949315,0.0025536128354148977,128,16,1,mean_squared_error,128,adam
64,0.0003241512575186789,0.001799069042521551,128,64,1,mean_squared_error,128,adam
128,0.00032796841580420735,0.0017779434175703801,128,128,1,mean_squared_error,128,adam
