round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.008252236060798168,0.008450799839027945,100,100,1,mean_squared_error,128,adam
100,0.008225057274103165,0.008477988516508564,100,100,2,mean_squared_error,128,adam
100,0.008160416036844254,0.00846516259844521,100,100,3,mean_squared_error,128,adam
100,0.008242393378168344,0.008620182716652509,100,100,4,mean_squared_error,128,adam
100,0.008250332437455654,0.00847066612273119,100,100,5,mean_squared_error,128,adam
1000,0.008127335691824555,0.00841263520912511,100,1000,1,mean_squared_error,128,adam
1000,0.008167608641088009,0.00843701954436802,100,1000,2,mean_squared_error,128,adam
1000,0.007628502324223518,0.008241595581490943,100,1000,3,mean_squared_error,128,adam
1000,0.0075283905025571585,0.008226033801373761,100,1000,4,mean_squared_error,128,adam
1000,0.007495492231100798,0.008214359277759088,100,1000,5,mean_squared_error,128,adam
