round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.002498775308755175,0.0027320113267062817,100,100,1,mean_squared_error,128,adam
250,0.0022827381532564387,0.002507989738145937,100,250,1,mean_squared_error,128,adam
500,0.0021002315190719,0.00236866218913958,100,500,1,mean_squared_error,128,adam
750,0.002708116074761928,0.002137326203860493,100,750,1,mean_squared_error,128,adam
1000,0.0028864627764864483,0.0018373600982195424,100,1000,1,mean_squared_error,128,adam
