round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.003922248259186745,0.0036149110294789897,100,100,1,mean_squared_error,128,adam
100,0.0039229277754202485,0.003628305360576947,100,100,2,mean_squared_error,128,adam
100,0.003936352150049061,0.0036297425136986527,100,100,3,mean_squared_error,128,adam
100,0.003941778384614736,0.0036290607873224498,100,100,4,mean_squared_error,128,adam
100,0.003934141946956515,0.003625954568062038,100,100,5,mean_squared_error,128,adam
1000,0.003926984965801239,0.0036098846532777416,100,1000,1,mean_squared_error,128,adam
1000,0.003941494622267783,0.003607113743655486,100,1000,2,mean_squared_error,128,adam
1000,0.0039379174704663455,0.003617026979798388,100,1000,3,mean_squared_error,128,adam
1000,0.003927944926545024,0.003527092495909863,100,1000,4,mean_squared_error,128,adam
1000,0.003926188277546316,0.003516677774177708,100,1000,5,mean_squared_error,128,adam
