round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.001955929968971759,0.00410786441886315,100,100,1,mean_squared_error,128,adam
100,0.0019715966191142797,0.004122487509020549,100,100,2,mean_squared_error,128,adam
100,0.0019730067579075694,0.004111335971258646,100,100,3,mean_squared_error,128,adam
100,0.0019908775575459003,0.0041053111802492855,100,100,4,mean_squared_error,128,adam
100,0.002014685363974422,0.0041068639725421055,100,100,5,mean_squared_error,128,adam
1000,0.001984203467145562,0.004107679817382624,100,1000,1,mean_squared_error,128,adam
1000,0.00199566240189597,0.004098924909612264,100,1000,2,mean_squared_error,128,adam
1000,0.0020080747781321406,0.004099212656524942,100,1000,3,mean_squared_error,128,adam
1000,0.001814260904211551,0.00406032755623603,100,1000,4,mean_squared_error,128,adam
1000,0.0018503537867218256,0.004039932850711001,100,1000,5,mean_squared_error,128,adam
