round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.008824857625754634,0.007548660531433092,100,100,1,mean_squared_error,128,adam
250,0.009406043703307458,0.007427549791625804,100,250,1,mean_squared_error,128,adam
500,0.014396851053976234,0.006762285335836085,100,500,1,mean_squared_error,128,adam
750,0.012846551938497241,0.0062468376179987736,100,750,1,mean_squared_error,128,adam
1000,0.013969393854202638,0.005102927992920006,100,1000,1,mean_squared_error,128,adam
