round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.02286436593919916,0.023617559831503737,1,1,1,mean_squared_error,128,adam
4,0.0230508051977484,0.021515592106670867,1,4,1,mean_squared_error,128,adam
16,0.02172446250633584,0.02105425461625245,1,16,1,mean_squared_error,128,adam
64,0.021065392877947033,0.02044939345472639,1,64,1,mean_squared_error,128,adam
128,0.020955619210861868,0.020394749928959736,1,128,1,mean_squared_error,128,adam
1,0.024468046873807908,0.02751804029135423,4,1,1,mean_squared_error,128,adam
4,0.02252927089110017,0.021419645059802504,4,4,1,mean_squared_error,128,adam
16,0.023251468678936363,0.021212049221412486,4,16,1,mean_squared_error,128,adam
64,0.02360004361718893,0.02026230066336309,4,64,1,mean_squared_error,128,adam
128,0.021158273369073867,0.020363519287601727,4,128,1,mean_squared_error,128,adam
1,0.02614789053797722,0.03761388540724864,16,1,1,mean_squared_error,128,adam
4,0.023290777280926704,0.021735691028333576,16,4,1,mean_squared_error,128,adam
16,0.02270588368177414,0.02119350143812028,16,16,1,mean_squared_error,128,adam
64,0.02242892198264599,0.020738417215095145,16,64,1,mean_squared_error,128,adam
128,0.02167273573577404,0.020346868440546142,16,128,1,mean_squared_error,128,adam
1,0.04712195694446564,0.06186122350273502,64,1,1,mean_squared_error,128,adam
4,0.026007029190659524,0.023827405977476672,64,4,1,mean_squared_error,128,adam
16,0.02290841780602932,0.021302815104772957,64,16,1,mean_squared_error,128,adam
64,0.02257406234741211,0.020954214320873587,64,64,1,mean_squared_error,128,adam
128,0.02197141893208027,0.020658134675126647,64,128,1,mean_squared_error,128,adam
1,0.057918526232242584,0.0683132262809554,128,1,1,mean_squared_error,128,adam
4,0.02935368537902832,0.031800641579196806,128,4,1,mean_squared_error,128,adam
16,0.023826347291469575,0.022234941020290902,128,16,1,mean_squared_error,128,adam
64,0.022694996893405914,0.021108744663649117,128,64,1,mean_squared_error,128,adam
128,0.0226633383333683,0.020898286001442074,128,128,1,mean_squared_error,128,adam
