round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.004016161675017997,0.003965008189311566,1,1,1,mean_squared_error,128,adam
4,0.00393411837100825,0.0037849691981756118,1,4,1,mean_squared_error,128,adam
16,0.003943448167085073,0.0037220174006432163,1,16,1,mean_squared_error,128,adam
64,0.003954775045046546,0.0036882876029904316,1,64,1,mean_squared_error,128,adam
128,0.003968715680275139,0.0036977061029578404,1,128,1,mean_squared_error,128,adam
1,0.004089762844960205,0.004079311278410307,4,1,1,mean_squared_error,128,adam
4,0.003978629825578537,0.0037675333948296265,4,4,1,mean_squared_error,128,adam
16,0.003954123481235001,0.0036976545245502638,4,16,1,mean_squared_error,128,adam
64,0.003936784589313902,0.0036638405957288814,4,64,1,mean_squared_error,128,adam
128,0.003944356598949526,0.0036588239809760455,4,128,1,mean_squared_error,128,adam
1,0.004091081083752215,0.004450225826042199,16,1,1,mean_squared_error,128,adam
4,0.003966147336177528,0.0037251280542598274,16,4,1,mean_squared_error,128,adam
16,0.003924454362131655,0.003659347030645975,16,16,1,mean_squared_error,128,adam
64,0.003935936870984733,0.0036400351502894144,16,64,1,mean_squared_error,128,adam
128,0.003984512600582093,0.003655597680039676,16,128,1,mean_squared_error,128,adam
1,0.004175222013145685,0.00489786092439044,64,1,1,mean_squared_error,128,adam
4,0.004076450848951935,0.003992217595226251,64,4,1,mean_squared_error,128,adam
16,0.003932423973456025,0.003641195899488705,64,16,1,mean_squared_error,128,adam
64,0.003922125082463026,0.0036165198410723653,64,64,1,mean_squared_error,128,adam
128,0.003928751833736897,0.0036394799624141936,64,128,1,mean_squared_error,128,adam
1,0.004331617681309581,0.005384859297067878,128,1,1,mean_squared_error,128,adam
4,0.004085489399731159,0.004024984259962644,128,4,1,mean_squared_error,128,adam
16,0.003945734985172748,0.0036516941137360094,128,16,1,mean_squared_error,128,adam
64,0.003920263051986695,0.0036105096138528874,128,64,1,mean_squared_error,128,adam
128,0.003927969047799707,0.0036115469480952123,128,128,1,mean_squared_error,128,adam
