round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.0022194827926608697,0.0043447109300096725,1,1,1,mean_squared_error,128,adam
4,0.0022156455036478916,0.0042328189535138306,1,4,1,mean_squared_error,128,adam
16,0.0023754912266363347,0.0041910297604917275,1,16,1,mean_squared_error,128,adam
64,0.002317955312822928,0.004131037098764519,1,64,1,mean_squared_error,128,adam
128,0.002178498575487886,0.004142130474641162,1,128,1,mean_squared_error,128,adam
1,0.0022934734469163233,0.0045825547711135185,4,1,1,mean_squared_error,128,adam
4,0.0021639409942144994,0.004151502881790377,4,4,1,mean_squared_error,128,adam
16,0.002296574806314311,0.004104970530167517,4,16,1,mean_squared_error,128,adam
64,0.0021621157266781665,0.0041276055338395614,4,64,1,mean_squared_error,128,adam
128,0.0021402466730796733,0.00410190402100752,4,128,1,mean_squared_error,128,adam
1,0.0024198452034033834,0.0047518839620785775,16,1,1,mean_squared_error,128,adam
4,0.002206231553573161,0.0041516715353552966,16,4,1,mean_squared_error,128,adam
16,0.0021383863617666066,0.0041018871220996666,16,16,1,mean_squared_error,128,adam
64,0.002184079793514684,0.00409887111320327,16,64,1,mean_squared_error,128,adam
128,0.0021405845624394714,0.004090452581021622,16,128,1,mean_squared_error,128,adam
1,0.0024926727497950195,0.005354979697490188,64,1,1,mean_squared_error,128,adam
4,0.0023536065686494113,0.004382389015372428,64,4,1,mean_squared_error,128,adam
16,0.002142850907985121,0.004078657705382268,64,16,1,mean_squared_error,128,adam
64,0.002136739760171622,0.004074102177288155,64,64,1,mean_squared_error,128,adam
128,0.002134692189283669,0.0040845945011241565,64,128,1,mean_squared_error,128,adam
1,0.002899843053892255,0.006162237107301497,128,1,1,mean_squared_error,128,adam
4,0.002391003416851163,0.004481034386303924,128,4,1,mean_squared_error,128,adam
16,0.002183755896985531,0.004098760659613522,128,16,1,mean_squared_error,128,adam
64,0.0021489667892456055,0.0040872741875763825,128,64,1,mean_squared_error,128,adam
128,0.0021398872416466476,0.0040813368172250755,128,128,1,mean_squared_error,128,adam
