round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.0034237526124343276,0.003799171597792541,100,100,1,mean_squared_error,1,adam
100,0.003533995826728642,0.003884423943703299,100,100,1,mean_squared_error,2,adam
100,0.003437194274738431,0.0037461947083687946,100,100,1,mean_squared_error,3,adam
100,0.003446430549956858,0.0037442809268412062,100,100,1,mean_squared_error,8,adam
100,0.0034346776083111763,0.003741730189237996,100,100,1,mean_squared_error,16,adam
100,0.0034350641071796417,0.003739258438992993,100,100,1,mean_squared_error,32,adam
100,0.003455689293332398,0.0037510343920672895,100,100,1,mean_squared_error,64,adam
100,0.0034114132868126035,0.003752908171072864,100,100,1,mean_squared_error,128,adam
