round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.023430196568369865,0.020719316866113634,100,100,1,mean_squared_error,128,adam
100,0.022726175375282764,0.019988363273022173,100,100,2,mean_squared_error,128,adam
100,0.022471578791737556,0.01992830076022948,100,100,3,mean_squared_error,128,adam
100,0.022415539249777794,0.019781258460763698,100,100,4,mean_squared_error,128,adam
100,0.022480915300548077,0.019761401814908645,100,100,5,mean_squared_error,128,adam
1000,0.022487150505185127,0.019828600228504186,100,1000,1,mean_squared_error,128,adam
1000,0.022414536215364933,0.019727616052193395,100,1000,2,mean_squared_error,128,adam
1000,0.022587656043469906,0.019671868050333406,100,1000,3,mean_squared_error,128,adam
1000,0.02253258414566517,0.019706113235990006,100,1000,4,mean_squared_error,128,adam
1000,0.022482724860310555,0.01969236921104084,100,1000,5,mean_squared_error,128,adam
