round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.004075207630518693,0.000752487786218872,100,100,1,mean_squared_error,128,adam
250,0.0039953064809941765,0.0006456605580310817,100,250,1,mean_squared_error,128,adam
500,0.004204499935403691,0.000602657569444743,100,500,1,mean_squared_error,128,adam
750,0.003965283701917035,0.0005897589830368301,100,750,1,mean_squared_error,128,adam
1000,0.004133746264287126,0.0005630210947893288,100,1000,1,mean_squared_error,128,adam
