round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.0009234505383784522,0.0011730335745137334,100,100,1,mean_squared_error,128,adam
250,0.0014839406948929756,0.001138789700758714,100,250,1,mean_squared_error,128,adam
500,0.002491650320753343,0.0011392239105065748,100,500,1,mean_squared_error,128,adam
750,0.003421509904604424,0.0010964508243216757,100,750,1,mean_squared_error,128,adam
1000,0.00627556889044149,0.0010744339476764023,100,1000,1,mean_squared_error,128,adam
