round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.0036898255348205566,0.0012759563247883286,100,100,1,mean_squared_error,128,adam
250,0.0036285375244915485,0.0012949914141922236,100,250,1,mean_squared_error,128,adam
500,0.0035813633585348725,0.0012696849652431802,100,500,1,mean_squared_error,128,adam
750,0.003700836794450879,0.0012719056862704036,100,750,1,mean_squared_error,128,adam
1000,0.0037295141955837607,0.0012802754406715721,100,1000,1,mean_squared_error,128,adam
