round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.002425743375621362,0.00575785385542196,1,1,1,mean_squared_error,128,adam
4,0.0023544481230123714,0.003364144896637878,1,4,1,mean_squared_error,128,adam
16,0.0026051064431795367,0.0034214964244596124,1,16,1,mean_squared_error,128,adam
64,0.0030228326856968834,0.003314610775482413,1,64,1,mean_squared_error,128,adam
128,0.00350975132697819,0.0032081468130522647,1,128,1,mean_squared_error,128,adam
1,0.0034527976991375908,0.008696199400372015,4,1,1,mean_squared_error,128,adam
4,0.0027030751030542887,0.0032193476963197523,4,4,1,mean_squared_error,128,adam
16,0.0027980836646747777,0.0032668210071497288,4,16,1,mean_squared_error,128,adam
64,0.0024634162813890726,0.0032473048672778822,4,64,1,mean_squared_error,128,adam
128,0.002863398780755233,0.0032539888861822545,4,128,1,mean_squared_error,128,adam
1,0.005626869313418865,0.011026590089844038,16,1,1,mean_squared_error,128,adam
4,0.0023883512895554303,0.004057141758433924,16,4,1,mean_squared_error,128,adam
16,0.0026120042218826713,0.003184811873314844,16,16,1,mean_squared_error,128,adam
64,0.002590987030416727,0.003192606582265529,16,64,1,mean_squared_error,128,adam
128,0.002583189045544714,0.0031754172849148346,16,128,1,mean_squared_error,128,adam
1,0.008167694630101323,0.016138453385938376,64,1,1,mean_squared_error,128,adam
4,0.005325010074302554,0.008532427683780354,64,4,1,mean_squared_error,128,adam
16,0.002563307136297226,0.0031676035594703335,64,16,1,mean_squared_error,128,adam
64,0.002678876961581409,0.003170547550555799,64,64,1,mean_squared_error,128,adam
128,0.0026438438147306444,0.003161249391196088,64,128,1,mean_squared_error,128,adam
1,0.011530035622417927,0.019375650683075226,128,1,1,mean_squared_error,128,adam
4,0.006774623375386,0.009929385743755497,128,4,1,mean_squared_error,128,adam
16,0.0028036193270236254,0.004702873731985483,128,16,1,mean_squared_error,128,adam
64,0.002630086708813906,0.003149458201070583,128,64,1,mean_squared_error,128,adam
128,0.002631790116429329,0.0031602782697343406,128,128,1,mean_squared_error,128,adam
