round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.0037773030244541107,0.0057317452620514915,1,1,1,mean_squared_error,128,adam
4,0.004463725325310293,0.003160945777912823,1,4,1,mean_squared_error,128,adam
16,0.003825187491808908,0.0031531725502557213,1,16,1,mean_squared_error,128,adam
64,0.003793823086401158,0.0030788938120484425,1,64,1,mean_squared_error,128,adam
128,0.0038914400732468035,0.0028786188275731622,1,128,1,mean_squared_error,128,adam
1,0.006303200058173388,0.008593909332274607,4,1,1,mean_squared_error,128,adam
4,0.0037235387405962685,0.0029975980208648014,4,4,1,mean_squared_error,128,adam
16,0.003922505411464954,0.0029508355820987305,4,16,1,mean_squared_error,128,adam
64,0.003905559871782316,0.002938341050857832,4,64,1,mean_squared_error,128,adam
128,0.0037426677812618437,0.0029608183209844066,4,128,1,mean_squared_error,128,adam
1,0.007774784760549665,0.010161292909391606,16,1,1,mean_squared_error,128,adam
4,0.004201425246428699,0.003655726485798259,16,4,1,mean_squared_error,128,adam
16,0.0037189004360698164,0.0029241018613872676,16,16,1,mean_squared_error,128,adam
64,0.0038082435575779528,0.0029094925185826344,16,64,1,mean_squared_error,128,adam
128,0.0037157793960068373,0.0028768137469042665,16,128,1,mean_squared_error,128,adam
1,0.010477413777261973,0.015096124741266271,64,1,1,mean_squared_error,128,adam
4,0.007593576945364475,0.007888852252633088,64,4,1,mean_squared_error,128,adam
16,0.003782473374158144,0.0028953062922190244,64,16,1,mean_squared_error,128,adam
64,0.0037592407665215434,0.0028820914540962036,64,64,1,mean_squared_error,128,adam
128,0.0037394097284413875,0.002889841161458491,64,128,1,mean_squared_error,128,adam
1,0.013221560865640641,0.01711514600329987,128,1,1,mean_squared_error,128,adam
4,0.008933530449867248,0.009241774917763188,128,4,1,mean_squared_error,128,adam
16,0.004654566310346126,0.003819439805827298,128,16,1,mean_squared_error,128,adam
64,0.003739485051482916,0.0028898785309224985,128,64,1,mean_squared_error,128,adam
128,0.003713488057255745,0.002860627398075529,128,128,1,mean_squared_error,128,adam
