round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
1,0.0042123962343787015,0.004885726699631343,1,1,1,mean_squared_error,128,adam
4,0.004076608866649261,0.0029948324692853573,1,4,1,mean_squared_error,128,adam
16,0.004104320271841123,0.0030382100233120797,1,16,1,mean_squared_error,128,adam
64,0.004566501469725117,0.002948127286862177,1,64,1,mean_squared_error,128,adam
128,0.004262403554168994,0.00285863405528611,1,128,1,mean_squared_error,128,adam
1,0.004947044770233333,0.007335662354061844,4,1,1,mean_squared_error,128,adam
4,0.004919513295171782,0.0028900246951671944,4,4,1,mean_squared_error,128,adam
16,0.0042385846740216945,0.002907908980679134,4,16,1,mean_squared_error,128,adam
64,0.004019893124495866,0.0028354445295350815,4,64,1,mean_squared_error,128,adam
128,0.0042670136429660485,0.002874696147847409,4,128,1,mean_squared_error,128,adam
1,0.009326277542859316,0.010648597013181977,16,1,1,mean_squared_error,128,adam
4,0.0038179489225149154,0.003642220134894656,16,4,1,mean_squared_error,128,adam
16,0.004189650160260499,0.0028951269675288652,16,16,1,mean_squared_error,128,adam
64,0.004374138843268156,0.0028336566374013586,16,64,1,mean_squared_error,128,adam
128,0.004234646912664175,0.0028070087329127844,16,128,1,mean_squared_error,128,adam
1,0.012762047406286002,0.01418114784121215,64,1,1,mean_squared_error,128,adam
4,0.008658914808183909,0.008134959671222075,64,4,1,mean_squared_error,128,adam
16,0.004191643078811467,0.002789260540099276,64,16,1,mean_squared_error,128,adam
64,0.004264328279532492,0.002787062578318228,64,64,1,mean_squared_error,128,adam
128,0.004167294260114431,0.0027667852619823736,64,128,1,mean_squared_error,128,adam
1,0.016798648983240128,0.016848331182094778,128,1,1,mean_squared_error,128,adam
4,0.010647125877439975,0.009677567325173428,128,4,1,mean_squared_error,128,adam
16,0.004839401133358479,0.004664201295243411,128,16,1,mean_squared_error,128,adam
64,0.004172761458903551,0.002768135081611816,128,64,1,mean_squared_error,128,adam
128,0.004247674951329827,0.0027617714871933335,128,128,1,mean_squared_error,128,adam
