round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.0038725873455405235,0.0026073556471092525,100,100,1,mean_squared_error,128,adam
250,0.003964908770285547,0.002532920002039882,100,250,1,mean_squared_error,128,adam
500,0.003995997831225395,0.0025024497273893396,100,500,1,mean_squared_error,128,adam
750,0.0041310235392302275,0.0024379860981364023,100,750,1,mean_squared_error,128,adam
1000,0.004207195481285453,0.002380363013036783,100,1000,1,mean_squared_error,128,adam
