round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.0035553514608182013,0.002647062907593706,100,100,1,mean_squared_error,128,adam
250,0.0034766344469971955,0.002645193528175971,100,250,1,mean_squared_error,128,adam
500,0.0034408264327794313,0.0026313565216299468,100,500,1,mean_squared_error,128,adam
750,0.003492964548058808,0.0026102816619427696,100,750,1,mean_squared_error,128,adam
1000,0.003494566131848842,0.002605211452453618,100,1000,1,mean_squared_error,128,adam
