round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.004342436557635665,0.002457395239488936,100,100,1,mean_squared_error,128,adam
250,0.004340981366112828,0.002419516086342325,100,250,1,mean_squared_error,128,adam
500,0.004366626031696796,0.0024378398731888427,100,500,1,mean_squared_error,128,adam
750,0.004384416388347745,0.0023860076940156886,100,750,1,mean_squared_error,128,adam
1000,0.004539053188636899,0.002300162666589442,100,1000,1,mean_squared_error,128,adam
