round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.0029707772191613913,0.0028108936936654142,100,100,1,mean_squared_error,128,adam
250,0.0028747483156621456,0.0027841596146683245,100,250,1,mean_squared_error,128,adam
500,0.0028575249016284943,0.0027927001311596825,100,500,1,mean_squared_error,128,adam
750,0.002850977354682982,0.0027837422242565748,100,750,1,mean_squared_error,128,adam
1000,0.0028196561615914106,0.002775470283901415,100,1000,1,mean_squared_error,128,adam
