round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.002667281438334612,0.0021193177642926274,100,100,1,mean_squared_error,1,adam
100,0.0017180336253659334,0.0017167106740536135,100,100,1,mean_squared_error,2,adam
100,0.0012675709767790977,0.0016119503332967205,100,100,1,mean_squared_error,3,adam
100,0.001131337139668176,0.0016043692029094124,100,100,1,mean_squared_error,8,adam
100,0.0010935888021776918,0.0016024343230012328,100,100,1,mean_squared_error,16,adam
100,0.0011075291404267773,0.0016059441235789418,100,100,1,mean_squared_error,32,adam
100,0.0011198698921361938,0.001611810397119833,100,100,1,mean_squared_error,64,adam
100,0.0011155561769555788,0.0016078512735179342,100,100,1,mean_squared_error,128,adam
