round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.005745106842368841,0.0035354622263627077,100,100,1,mean_squared_error,1,adam
100,0.0017544157453812659,0.0022514174674972565,100,100,1,mean_squared_error,2,adam
100,0.0007042514916975051,0.0018540747894935851,100,100,1,mean_squared_error,3,adam
100,0.00041739115840755403,0.0017519659853778443,100,100,1,mean_squared_error,8,adam
100,0.0004308148054406047,0.0017432461742616322,100,100,1,mean_squared_error,16,adam
100,0.0004074275784660131,0.0017552587425716706,100,100,1,mean_squared_error,32,adam
100,0.0004199703471385874,0.0017560729346288262,100,100,1,mean_squared_error,64,adam
100,0.00040623040695209056,0.001763324756669826,100,100,1,mean_squared_error,128,adam
