round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.002043610386054345,0.002799431474565823,100,100,1,mean_squared_error,128,adam
250,0.0019352874126584835,0.0027097493320020227,100,250,1,mean_squared_error,128,adam
500,0.0019562387337028306,0.002657019656067293,100,500,1,mean_squared_error,128,adam
750,0.00198762243714221,0.002593978463459161,100,750,1,mean_squared_error,128,adam
1000,0.0020476799772996173,0.002505209223816555,100,1000,1,mean_squared_error,128,adam
